CNL_Z,Density_0108,GR_Z,P-wave_0108,S-wave_0108
25.1463,2.504,71.8227,92.1279,154.7566
25.3187,2.5174,69.1426,91.4778,152.6618
25.0066,2.5342,66.5427,90.5158,150.4522
24.4086,2.5521,64.8632,89.4624,148.3127
23.6794,2.5655,64.4319,88.5443,147.3285
22.9661,2.5745,65.2638,87.8796,146.7358
22.3857,2.5778,66.9792,87.4965,146.4321
21.9442,2.5778,68.684,87.3771,146.3308
21.6069,2.5745,69.674,87.3951,146.4257
21.3268,2.5711,69.461,87.4853,146.8724
21.0694,2.5678,67.8142,87.6092,147.5494
20.823,2.5655,65.5885,87.7354,148.4395
20.6059,2.5655,63.5653,87.8323,149.4789
20.4419,2.5644,62.5289,87.8717,150.6423
20.3679,2.5644,63.2606,87.8514,152.1579
20.3839,2.5655,65.0308,87.8266,153.4856
20.4991,2.5666,66.6977,87.91,154.8237
20.7203,2.5689,67.3882,88.2187,156.2957
21.0677,2.57,66.9982,88.8383,157.897
21.5152,2.5689,66.6924,89.8421,159.8637
22.0384,2.5644,67.5232,91.1128,162.2173
22.5918,2.5555,70.1158,92.5391,164.0535
23.1032,2.5443,73.9366,93.9946,165.5107
23.5145,2.5331,77.2229,95.3195,166.5405
23.7887,2.5241,79.0268,96.4235,167.0825
23.9191,2.5174,79.2683,97.2572,167.1416
23.9267,2.5118,78.5693,97.8204,166.8916
23.9014,2.5073,77.8555,98.1303,166.4762
23.9157,2.5029,77.2925,98.2846,165.829
24.0234,2.4984,76.8043,98.2959,164.8903
24.2303,2.4928,76.2519,98.1122,163.5451
24.4355,2.4872,75.6235,97.5625,161.501
24.518,2.4838,74.7716,96.6004,159.7597
24.3556,2.4838,73.0552,95.2372,158.2125
23.8358,2.4872,69.3472,93.5958,157.0204
23.0494,2.4905,64.1947,91.9285,156.2987
22.1317,2.495,59.3217,90.5169,156.305
21.2805,2.495,56.8672,89.557,157.1313
20.7733,2.4928,58.4951,89.1503,158.2611
20.7313,2.4894,62.9116,89.3588,159.5154
21.2048,2.4849,68.5617,89.9423,160.7488
22.141,2.4827,73.8206,90.6904,161.8785
23.4203,2.4827,77.321,91.3922,162.9483
24.7821,2.4849,79.0163,91.8812,163.5762
26.0454,2.4894,78.9878,92.1932,164.1071
27.069,2.4939,77.5265,92.4354,164.5084
27.7201,2.4961,75.3789,92.7182,164.7392
28.0338,2.495,73.9503,93.108,164.6301
28.0389,2.4849,73.8544,93.5282,163.7751
27.7773,2.4704,74.8022,93.8549,162.3227
27.2625,2.4547,75.8164,93.936,160.2676
26.5703,2.4424,75.9535,93.5485,157.7006
25.7334,2.4413,74.8539,92.6653,154.8036
24.7905,2.4503,72.6292,91.3089,151.2169
23.7904,2.4693,69.6824,89.6134,149.1076
22.813,2.495,66.7567,87.8368,148.0066
21.9307,2.5219,64.1758,86.2911,147.8694
21.2216,2.5431,62.2421,85.1848,148.7058
20.7935,2.5566,61.4588,84.6362,150.6311
20.6413,2.5599,61.7087,84.7612,153.3935
20.7531,2.5555,62.5447,85.4135,155.6007
21.0845,2.5465,63.4841,86.5198,157.348
21.5875,2.5353,64.2675,87.9934,158.6379
22.1721,2.5252,64.9602,89.7497,159.5147
22.792,2.5163,65.5242,91.5995,160.3689
23.4043,2.5073,65.9892,93.3829,161.1204
23.9376,2.4984,66.7304,94.9319,161.4583
24.3262,2.4894,67.6982,96.0348,161.165
24.5003,2.4805,68.4036,96.6882,160.1668
24.4145,2.476,68.2644,96.9372,158.4562
24.0528,2.4749,66.5174,96.8967,157.0399
23.5582,2.4794,63.6634,96.7232,157.2221
23.0771,2.4872,60.8779,96.5959,158.2911
22.7609,2.495,59.6264,96.6015,159.8176
22.7533,2.4995,60.7577,96.766,161.3648
23.0014,2.4995,62.9348,97.0386,162.1925
23.3867,2.4973,64.802,97.2527,161.5511
23.729,2.495,65.2427,97.2222,160.1239
23.7803,2.495,63.715,96.7772,158.1253
23.4397,2.4961,61.3955,95.7352,155.7327
22.6869,2.4995,59.2163,94.2154,152.9384
21.6001,2.5017,57.4893,92.36,149.5108
20.3292,2.5029,55.8182,90.3456,147.0467
19.0869,2.504,53.9384,88.3595,144.95
18.0035,2.5051,52.0627,86.5175,143.1989
17.1565,2.5073,50.6774,84.8851,141.8343
16.6056,2.5118,50.2461,83.522,140.6514
16.2927,2.5174,50.5413,82.5689,139.9526
16.1918,2.523,51.253,82.0856,139.9998
16.2894,2.5275,52.1439,82.1938,140.865
16.6342,2.5297,53.096,82.9936,142.6166
17.26,2.5308,54.5161,84.6181,145.1691
18.2508,2.5275,57.3206,86.8206,149.0229
19.6782,2.5196,62.4509,89.3509,151.7617
21.5732,2.5073,70.1632,91.8688,154.0189
23.7021,2.4928,78.3479,93.9112,155.7253
25.8099,2.476,84.3996,95.235,156.8786
27.6082,2.4637,86.1498,95.716,157.3463
28.7563,2.457,82.6916,95.3983,156.884
29.2408,2.4559,76.8771,94.4576,156.2095
29.1205,2.4626,71.2702,93.3761,155.7377
28.5738,2.4715,67.636,92.5064,155.6779
27.8639,2.4794,66.7209,92.1087,156.1735
27.265,2.4849,67.4051,92.3645,157.5213
26.8907,2.4838,68.878,93.0821,158.864
26.7334,2.4794,70.6693,94.0678,159.9702
26.6872,2.4738,72.2803,95.0908,160.7137
26.5854,2.4704,73.0425,95.8647,160.9725
26.328,2.4693,72.5734,96.2207,160.5748
25.8629,2.4704,71.0731,96.0585,159.4056
25.1538,2.4738,69.1374,95.3623,158.2171
24.2757,2.4794,67.2312,94.1658,157.0526
23.2925,2.4894,65.1605,92.7148,155.9713
22.2865,2.5029,62.6702,91.1658,154.9943
21.3638,2.5174,60.163,89.6359,153.8365
20.5807,2.5297,58.5489,88.2108,152.6874
19.9583,2.5375,58.3707,86.9017,151.5296
19.4746,2.5409,59.2711,85.6997,150.271
19.0709,2.5443,59.9775,84.5821,148.9137
18.6529,2.5487,59.5536,83.5186,147.3486
18.1701,2.5566,57.7402,82.4991,145.56
17.6183,2.5689,54.8039,81.6034,144.7558
17.0808,2.5801,51.3553,81.0131,144.9205
16.7192,2.589,48.3463,81.1032,146.1538
16.7166,2.589,46.7226,82.0068,148.4401
17.2533,2.5812,47.1528,83.7642,152.0773
18.5318,2.5655,50.1829,86.2201,155.4234
20.3889,2.542,55.1413,89.0332,157.7242
22.6044,2.5152,61.2163,91.6671,159.0821
24.8418,2.4894,67.3471,93.7479,159.3782
26.6258,2.4704,72.0873,95.0311,158.4416
27.7016,2.4603,74.293,95.3397,155.6137
27.9539,2.4626,73.4042,94.977,153.0093
27.4324,2.4726,69.9429,94.1996,150.7325
26.2935,2.4838,65.928,93.2713,148.9778
24.9385,2.4917,63.6539,92.4163,147.7216
23.6222,2.4939,63.6096,91.6987,146.6049
22.5035,2.4917,64.7482,91.0757,145.0071
21.6414,2.4905,64.899,90.4493,143.2718
20.9197,2.4928,62.8252,89.69,141.6342
20.2451,2.5017,58.9506,88.7707,140.4325
19.5621,2.514,54.6827,87.7342,139.955
18.8859,2.5264,51.622,86.6741,140.6043
18.2677,2.5342,49.7337,85.7042,141.3227
17.7428,2.5353,48.1586,84.8288,141.1693
17.3012,2.5308,46.0605,83.9704,139.7642
16.8807,2.5241,42.9956,83.0015,136.9778
16.3962,2.5185,39.4837,81.7724,132.4498
15.8074,2.5174,36.2237,80.3079,127.8394
15.1253,2.5196,33.8157,78.689,125.6186
14.4271,2.5241,32.9564,77.0566,124.7844
13.8224,2.5308,33.6618,75.6112,124.8533
13.3934,2.5375,35.6186,74.47,125.2381
13.1882,2.5431,38.0625,73.7039,125.0725
13.2353,2.5465,39.9666,73.3299,124.8695
13.4498,2.5487,41.1769,73.3749,125.6146
13.7702,2.551,42.1574,73.7467,127.5019
14.1555,2.5499,43.3794,74.4553,130.5949
14.6113,2.5476,44.847,75.5583,135.0024
15.1909,2.542,46.1006,77.1974,140.5046
15.9916,2.532,47.5134,79.2895,144.4174
17.1221,2.5152,50.6331,81.715,147.181
18.6933,2.495,57.4292,84.2588,148.7263
20.5647,2.4726,66.6302,86.5874,149.1467
22.5388,2.4547,75.8576,88.4553,148.7441
24.3346,2.4447,82.5588,89.6956,148.4911
25.5601,2.4447,84.6664,90.233,148.3419
26.069,2.4559,83.5709,89.9851,147.9232
25.8032,2.4738,81.0849,89.1853,147.0081
24.8359,2.4939,78.4786,87.9934,145.2686
23.3396,2.5096,75.5697,86.5829,142.2699
21.707,2.5219,71.4737,85.1093,139.7709
20.198,2.5308,65.8532,83.6752,137.3977
18.9818,2.5387,59.1678,82.3087,135.2995
18.1549,2.5476,52.8651,81.0165,133.6214
17.6049,2.5566,48.0458,79.8595,132.4455
17.2541,2.5666,44.7047,78.8963,132.3465
17.0539,2.5756,42.5612,78.1967,132.878
17.0077,2.5812,41.9634,77.7821,133.6113
17.0876,2.5834,43.6134,77.6244,134.2908
17.2701,2.5801,48.0764,77.5681,134.6653
17.5014,2.5734,54.5151,77.5083,134.1267
17.6814,2.5678,60.2906,77.3822,132.9867
17.7192,2.5644,62.9496,77.1602,131.6302
17.5603,2.5644,61.6127,76.8808,130.2666
17.1944,2.5666,56.9727,76.5789,129.1393
16.662,2.5678,50.8988,76.2973,128.5849
16.0951,2.5678,45.8507,76.1069,129.2953
15.598,2.5678,42.8132,76.0641,131.0765
15.2506,2.5689,41.6408,76.241,133.6091
15.1202,2.5711,41.6377,76.7243,136.7911
15.1816,2.5745,41.9993,77.6931,140.4804
15.444,2.5756,42.6055,79.1869,145.9196
15.947,2.5722,43.6293,81.2655,151.416
16.8277,2.5633,45.8855,83.923,157.2992
18.1263,2.5476,49.8972,87.091,163.1546
19.8801,2.5264,55.9489,90.4222,168.586
22.0325,2.5017,63.8837,93.5778,172.9673
24.3817,2.4771,73.032,96.1757,174.5602
26.5467,2.457,81.7143,97.6706,173.3277
28.1701,2.4435,88.3248,97.9568,170.4451
28.9515,2.4413,91.667,96.9902,166.357
28.5889,2.448,90.9417,94.9094,161.4156
27.3298,2.4637,87.1914,91.9769,155.5056
25.4474,2.4849,81.3031,88.8214,151.3953
23.3286,2.504,74.3499,85.9126,148.8246
21.4748,2.5163,67.7225,83.6538,147.3627
20.2123,2.5219,62.9527,82.4979,147.0183
19.6975,2.5196,61.0212,82.3864,147.8221
19.9196,2.5152,61.8573,83.2234,150.2239
20.775,2.5129,64.2917,84.7725,152.8452
21.8987,2.5152,66.5184,86.6877,155.3902
23.0317,2.5196,67.9808,88.4845,157.5812
23.9359,2.5264,68.9476,89.8387,159.081
24.3413,2.5308,70.1316,90.5259,159.5395
24.2017,2.532,71.6234,90.3603,158.6406
23.5086,2.5308,72.6893,89.5638,156.8875
22.3428,2.5297,72.2834,88.3381,154.3399
20.8515,2.5297,69.3746,86.9197,151.0269
19.3266,2.5342,64.763,85.5645,147.0561
17.985,2.5431,59.6749,84.4323,142.3777
17.0068,2.5532,55.484,83.5918,140.1953
16.561,2.5633,53.3511,83.0466,139.5868
16.5518,2.57,53.0285,82.7739,140.3408
16.8697,2.5756,54.223,82.6275,142.157
17.3626,2.5778,56.4381,82.5092,144.7265
17.8589,2.579,59.0887,82.3402,146.844
18.2357,2.5778,61.3839,82.0743,148.2007
18.4485,2.5745,62.7429,81.7285,149.2432
18.499,2.57,63.1815,81.3094,150.0511
18.4081,2.5633,63.2595,80.8115,150.7151
18.2407,2.5543,63.1531,80.2414,151.3576
18.0338,2.5454,62.2211,79.7029,151.8698
17.8269,2.5375,59.6696,79.3514,152.477
17.6957,2.5331,55.3585,79.3672,153.1685
17.715,2.532,50.962,79.9463,153.8783
17.9413,2.5308,48.4464,80.9624,154.4943
18.3753,2.5275,49.4248,82.2411,154.4375
18.9338,2.5219,54.1387,83.5411,153.6829
19.4334,2.5129,59.6095,84.5551,152.4613
19.7219,2.5062,63.326,85.133,150.99
19.7034,2.504,63.908,85.222,149.5343
19.3552,2.5062,61.4609,84.8975,148.4619
18.8859,2.5096,58.4034,84.3759,148.6061
18.5309,2.5096,56.7544,84.0087,149.3137
18.5376,2.5051,57.7117,84.0267,150.1472
19.1163,2.4973,61.21,84.4942,150.6949
20.0861,2.4861,65.4789,85.2738,150.3858
21.1602,2.476,69.1121,85.9633,148.1364
21.9669,2.4715,70.7484,86.2291,144.9726
22.0678,2.4715,68.9971,85.8427,141.2657
21.4168,2.4794,64.608,84.6441,137.2595
20.1013,2.4928,58.6311,82.8922,133.3036
18.361,2.5096,52.3906,80.8205,129.3105
16.5644,2.5252,47.7717,78.698,126.7215
15.0689,2.5387,45.8317,76.8347,125.0886
14.0612,2.5454,46.4886,75.3836,124.0863
13.5919,2.5487,48.7501,74.4148,123.7014
13.6323,2.5487,51.3205,73.9213,124.0655
13.9553,2.5476,53.1824,73.9056,126.2726
14.4389,2.5465,54.1608,74.2402,129.6937
15.0092,2.5465,54.7006,74.9105,134.0656
15.6493,2.5454,55.7191,75.948,138.8196
16.3701,2.5431,57.4914,77.4847,143.5007
17.2171,2.5387,59.5947,79.4934,147.7869
18.2525,2.532,61.4356,81.947,150.3791
19.5672,2.5185,62.8463,84.7364,151.855
21.1215,2.5006,64.5184,87.6554,152.931
22.8383,2.476,67.0614,90.3997,153.7077
24.5651,2.4503,70.4626,92.7272,154.2713
26.0404,2.429,74.0568,94.4452,154.6779
27.0867,2.4178,76.7896,95.3521,154.9735
27.5947,2.4234,77.9124,95.6259,155.476
27.5586,2.4424,77.2334,95.4445,156.2333
27.0497,2.4693,75.4896,95.0491,157.2249
26.3491,2.4973,74.4469,94.7021,158.5214
25.6375,2.5174,75.3283,94.5275,159.5863
25.0226,2.5275,78.3046,94.541,159.8859
24.5062,2.5275,82.0264,94.3033,159.4418
23.967,2.5241,84.018,93.6364,158.19
23.2899,2.5208,82.9942,92.449,156.1624
22.4068,2.5241,79.1375,90.7828,152.8638
21.3209,2.532,73.4875,88.7989,150.2927
20.1862,2.5443,67.7573,86.8375,148.3249
19.1634,2.5577,63.1204,85.1465,146.9006
18.3972,2.5666,60.3686,83.8904,145.9716
18.0111,2.5711,59.8278,83.1795,145.4684
17.9177,2.57,60.3496,82.846,145.3587
18.0069,2.5655,61.1551,82.7458,145.5158
18.1448,2.5599,61.8478,82.721,145.7919
18.1962,2.5555,62.0144,82.6106,146.0774
18.1036,2.5521,61.4208,82.3267,146.2517
17.8597,2.5487,59.9216,81.8378,145.8973
17.4888,2.5454,57.6453,81.1674,144.9167
17.0346,2.542,55.2004,80.3777,143.8376
16.5745,2.5375,53.2024,79.5869,142.97
16.1674,2.5353,51.8223,78.8749,142.5811
15.868,2.5342,50.8028,78.3026,142.9785
15.746,2.5342,49.8002,77.959,144.5997
15.8057,2.5364,49.3247,77.8824,146.5369
16.048,2.5398,50.0753,78.1606,148.8385
16.4643,2.5431,52.2156,78.8828,151.4443
17.0649,2.5443,55.116,80.1795,154.2471
17.8311,2.5431,57.775,81.9166,157.6825
18.7992,2.5364,60.2727,83.9478,160.446
20.0172,2.5241,63.5927,86.0602,162.1496
21.532,2.5085,69.3693,87.9708,162.935
23.2142,2.4928,77.2081,89.5739,162.6151
24.8864,2.4838,85.2252,90.9529,160.9976
26.2994,2.4827,90.9501,92.4016,156.5607
27.0783,2.4917,92.4609,94.5004,151.2423
27.0926,2.5073,91.0977,97.5264,145.0775
26.2666,2.5297,88.1519,101.4413,138.4667
24.6584,2.5555,84.0348,105.7932,131.9951
22.4379,2.5823,77.4686,109.6067,125.9276
20.0609,2.6081,67.7182,111.9848,122.7155
17.8774,2.6271,55.232,112.2947,122.6146
16.1884,2.6372,41.993,110.2511,124.7103
15.3145,2.6383,31.0787,105.7369,128.7383
15.2237,2.6327,23.9621,99.8415,134.2058
15.8789,2.6237,21.1618,93.5631,141.5718
17.1624,2.617,22.7823,88.0012,146.341
18.9128,2.6114,29.1841,84.4041,149.7774
20.7952,2.6047,38.5158,82.9012,152.2171
22.5767,2.5924,48.9346,83.2696,154.0099
24.0629,2.5778,58.5647,84.9088,155.69
25.0504,2.5599,65.8732,87.0617,157.1987
25.5424,2.5431,71.3061,88.96,157.6992
25.5357,2.5297,75.6151,90.2228,157.2316
25.0563,2.5208,79.2008,90.6611,155.769
24.11,2.5174,81.3811,90.1,153.3213
22.8517,2.5196,81.3927,88.7459,149.0675
21.3814,2.5275,78.8824,86.7417,144.6009
19.8094,2.5375,74.236,84.2903,140.2437
18.2777,2.5499,68.529,81.6451,136.122
16.9093,2.5622,63.2332,79.1013,132.6873
15.7923,2.5722,58.765,76.829,130.1725
14.9797,2.5812,54.8693,74.9262,129.1675
14.5121,2.5868,51.1971,73.5056,129.419
14.2858,2.5901,47.7769,72.5199,130.3486
14.2312,2.589,45.0188,71.9972,131.974
14.2867,2.5846,43.469,71.9757,134.2797
14.433,2.5801,43.4785,72.583,138.0328
14.6778,2.5745,44.0932,73.7422,141.9894
15.0815,2.5678,44.5317,75.4219,145.8204
15.7174,2.5611,44.6519,77.5421,149.7056
16.6763,2.5521,45.3752,80.0014,153.7017
17.89,2.5409,47.9214,82.5667,157.8755
19.2627,2.5286,52.8176,85.0631,162.5702
20.6547,2.5163,59.3607,87.3287,165.5028
21.887,2.5073,65.578,89.1481,167.4153
22.8669,2.5006,70.4025,90.4898,168.2776
23.5473,2.4984,74.1612,91.3314,168.1306
23.9208,2.4995,77.5044,91.6998,166.7865
23.9771,2.5017,80.3721,91.5939,164.5891
23.8173,2.5062,81.8809,91.1342,162.1773
23.4943,2.5118,81.1608,90.3535,159.5615
23.0544,2.5208,78.4153,89.2889,156.8217
22.5195,2.5308,75.2324,87.999,153.9411
21.9324,2.542,73.206,86.6674,149.872
21.3243,2.5521,72.2212,85.4484,146.4715
20.7363,2.5611,71.2365,84.4773,143.2632
20.2266,2.5678,68.9855,83.8915,140.754
19.8178,2.5711,65.6518,83.6437,139.3326
19.5184,2.5711,62.1915,83.6865,139.6393
19.3291,2.5678,59.8341,83.9388,141.6986
19.2576,2.5644,59.736,84.3005,143.6259
19.2787,2.5633,61.3976,84.6474,145.0841
19.3804,2.5678,63.9796,84.9178,145.8947
19.5512,2.5745,66.4657,85.1059,146.0755
19.7859,2.5846,67.8247,85.2749,146.1349
20.0735,2.5946,68.0862,85.5431,146.7847
20.4259,2.6002,67.7256,86.0083,147.8718
20.8616,2.6025,67.4304,86.7282,149.2335
21.405,2.5991,68.0461,87.7275,150.7304
22.0173,2.5913,69.8216,88.8766,152.3757
22.6465,2.5801,72.6841,90.0595,154.1351
23.2201,2.5666,76.1665,91.159,155.4199
23.6398,2.5532,79.1375,92.0456,156.2976
23.8821,2.5409,80.6652,92.6889,156.6734
23.946,2.532,80.7211,93.0719,156.4596
23.856,2.5275,80.0506,93.1936,155.5622
23.6382,2.5241,79.865,93.0246,154.7643
23.3412,2.5241,80.486,92.6146,154.2576
22.9737,2.5252,81.2957,91.96,153.8546
22.522,2.5264,81.3179,91.0543,153.3929
21.9509,2.5275,79.4971,89.8612,152.5842
21.2671,2.5275,76.2329,88.4665,150.9184
20.4916,2.5275,72.2676,86.9603,149.2377
19.6731,2.5264,68.3034,85.4665,147.5264
18.9086,2.5252,64.8558,84.1641,145.9384
18.2811,2.523,61.7519,83.1468,144.5668
17.8521,2.5196,58.7977,82.4743,143.4905
17.6494,2.5174,56.1429,82.1633,143.2343
17.6856,2.5174,54.1819,82.2433,143.5844
17.8782,2.5174,53.0148,82.5982,144.3423
18.1734,2.5208,52.8598,83.1457,145.4371
18.5242,2.5241,53.9183,83.7879,146.8931
18.8918,2.5286,56.2874,84.4097,149.0951
19.2442,2.5331,59.2521,84.928,150.7392
19.5588,2.5375,61.9533,85.3166,151.8971
19.8136,2.5431,63.4103,85.5938,152.4561
19.9835,2.5487,62.6575,85.836,152.3794
20.0794,2.5532,60.55,86.1593,151.735
20.1231,2.5566,58.2927,86.6516,151.3814
20.1551,2.5577,57.0169,87.3614,151.896
20.2384,2.5555,57.8657,88.2942,153.14
20.4083,2.5499,60.5015,89.3148,154.9849
20.6657,2.542,64.0102,90.2995,157.1332
20.976,2.5342,67.2913,91.1196,159.4837
21.2687,2.5275,69.2681,91.6254,160.2251
21.479,2.523,69.7657,91.7978,159.9196
21.5816,2.5185,68.8928,91.6119,158.7617
21.5842,2.5129,67.3819,91.0678,156.9155
21.5169,2.5062,66.3234,90.1372,154.466
21.4344,2.4995,66.082,88.9363,151.885
21.3554,2.4961,66.2485,87.5439,149.6916
21.2721,2.5006,65.8373,86.0579,147.4241
21.1468,2.5118,63.5969,84.599,145.1866
20.95,2.5275,60.0123,83.2741,143.0645
20.6749,2.5443,56.6216,82.1724,141.4663
20.346,2.5577,55.291,81.3578,141.3717
20.0239,2.5655,57.3069,80.9038,141.8782
19.7817,2.5678,61.2173,80.7022,142.6167
19.6664,2.5666,65.073,80.6459,143.359
19.6967,2.5644,67.131,80.6087,144.0146
19.87,2.5622,66.743,80.4949,144.7485
20.1164,2.5622,65.5558,80.3451,145.5665
20.394,2.5655,64.8832,80.282,146.5256
20.6758,2.5689,65.0614,80.451,147.5069
20.9601,2.5734,65.4599,81.0097,148.3647
21.2536,2.5767,65.8342,81.8907,148.8333
21.548,2.5767,66.7789,82.9779,148.3396
21.7986,2.5734,68.5838,84.1134,147.3964
21.913,2.5678,70.4595,85.1037,146.3679
21.8373,2.5622,70.7599,85.8405,145.5348
21.5371,2.5588,68.431,86.2652,145.1485
21.0341,2.5577,63.8268,86.3801,145.3213
20.4024,2.5588,59.1171,86.2359,145.6643
19.7943,2.5611,56.5446,86.0219,146.1478
19.3392,2.5611,56.3464,85.8878,146.8167
19.1416,2.5577,57.3607,85.9441,147.6688
19.2904,2.551,58.2431,86.2483,148.7493
19.6858,2.5431,58.7534,86.6978,149.3956
20.2089,2.5364,59.6696,87.1912,149.5008
20.7086,2.5308,61.949,87.6317,149.301
20.9945,2.5275,65.5126,87.9122,148.9044
20.992,2.5264,68.5944,87.999,148.4456
20.6724,2.5275,69.9281,87.8717,147.9336
20.0685,2.5275,69.3682,87.5427,147.5904
19.2576,2.5286,67.4114,87.0572,147.3029
18.4182,2.5286,64.9412,86.5401,147.1069
17.6965,2.5286,62.2495,86.0725,147.0328
17.2264,2.5264,59.6032,85.7064,147.1968
17.1473,2.523,57.6074,85.4642,147.8871
17.4072,2.5196,56.8809,85.311,148.9611
17.9329,2.5174,57.7044,85.2366,150.3555
18.6142,2.5163,59.6295,85.2558,151.8858
19.3291,2.5174,61.4198,85.4045,153.3965
19.9945,2.5185,62.3739,85.6602,154.6513
20.6009,2.5163,62.7166,85.9667,154.8066
21.1729,2.5118,63.3544,86.2291,154.2453
21.7448,2.5029,65.7888,86.2888,153.0527
22.3117,2.4917,69.9102,86.0748,151.3188
22.8265,2.4827,74.178,85.5543,148.8754
23.21,2.4782,76.3752,84.7432,145.8619
23.3438,2.4805,74.8739,83.6921,143.3096
23.2201,2.4861,71.3767,82.5633,140.931
22.8542,2.495,67.9418,81.4987,138.7471
22.3117,2.5051,66.1927,80.6346,136.8599
21.6876,2.514,66.6555,80.1175,135.0822
21.0946,2.523,67.6191,79.8978,134.0167
20.5841,2.5331,67.772,79.8944,133.5093
20.1669,2.5431,66.7251,79.9958,133.5523
19.8313,2.5543,64.7303,80.1051,134.1441
19.547,2.5633,62.4024,80.2042,135.2795
19.3241,2.57,60.3043,80.3451,136.4845
19.1962,2.5734,58.8768,80.6109,136.7888
19.2248,2.5734,58.6954,81.1123,136.788
19.4099,2.57,60.0407,81.8513,136.9094
19.7404,2.5644,63.0403,82.8089,137.5793
20.1812,2.5566,67.1985,83.9107,139.7594
20.669,2.5487,71.2397,85.0091,142.6247
21.1072,2.5398,74.1,85.9047,144.8957
21.4042,2.5331,75.7553,86.4218,146.4304
21.4689,2.5275,76.7189,86.4319,147.0824
21.1829,2.523,77.3642,85.8303,146.7953
20.5799,2.523,77.0532,84.8299,145.3127
19.711,2.5264,74.6177,83.647,143.6718
18.6857,2.5331,69.5865,82.5407,142.0918
17.6839,2.542,62.9422,81.8321,140.9344
16.8933,2.551,57.2426,81.6305,140.4784
16.4475,2.5566,54.339,81.9583,141.2313
16.4122,2.5599,54.8187,82.7334,143.2047
16.8041,2.5599,57.9152,83.7924,145.2882
17.4282,2.5566,61.4124,84.8491,147.3301
18.1205,2.5521,64.1241,85.7166,149.1002
18.7269,2.5487,65.6897,86.2731,150.4091
19.1037,2.5454,66.2875,86.4454,151.0883
19.2484,2.5443,66.3002,86.361,150.8407
19.192,2.5443,65.5506,86.1401,150.1804
19.0028,2.5443,63.7772,85.9216,149.3257
18.7664,2.5443,61.1372,85.8731,148.5378
18.5721,2.542,58.5383,86.0804,148.2484
18.4729,2.5398,56.6553,86.5694,149.3538
18.4998,2.5353,55.7001,87.2859,151.4785
18.6722,2.5297,55.4629,88.07,154.2359
18.9347,2.523,55.4977,88.6941,157.3182
19.2232,2.5174,55.6759,89.0084,160.3165
19.4637,2.5129,55.9943,88.9633,163.0579
19.5781,2.5107,55.9658,88.6163,164.3037
19.5764,2.5118,54.8693,88.213,164.9597
19.5125,2.5152,52.436,87.9551,165.3831
19.4839,2.5196,49.1507,88.0069,165.7805
19.6235,2.5208,46.7795,88.5251,166.3705
19.9608,2.5163,47.2034,89.423,167.1375
20.4604,2.5085,51.2572,90.5676,167.4748
21.0147,2.4984,58.0681,91.7448,167.3949
21.4504,2.4928,65.0371,92.6326,166.8885
21.6565,2.4905,69.5991,93.0528,165.9832
21.5942,2.495,71.071,92.939,164.6945
21.3032,2.5017,70.3857,92.3611,163.8918
20.8902,2.5073,69.3893,91.4824,163.7005
20.5159,2.5118,69.1911,90.5653,163.9388
20.2779,2.514,69.479,89.735,164.4323
20.2081,2.5152,69.3661,89.0264,164.9063
20.2661,2.5129,68.2855,88.3944,164.4667
20.3141,2.5107,66.8569,87.741,162.9614
20.2392,2.5062,65.7351,87.0166,160.7873
19.9591,2.5017,64.9212,86.2032,158.1605
19.42,2.4995,63.6707,85.302,155.4325
18.7101,2.4995,61.3649,84.3624,152.6717
17.9228,2.5051,58.0101,83.4341,151.063
17.1717,2.5129,54.2589,82.5948,150.4777
16.6048,2.5208,51.3774,81.9853,150.5256
16.2809,2.5297,49.9436,81.6879,151.1403
16.2305,2.5342,49.8782,81.795,152.2668
16.4475,2.5375,50.9325,82.3909,154.8497
16.9429,2.5364,53.2383,83.6425,157.9859
17.6789,2.5331,56.5657,85.4946,161.8483
18.6991,2.5275,60.7745,87.9089,166.062
20.0685,2.5174,65.8447,90.758,170.3755
21.876,2.5051,72.0631,93.8099,174.5952
23.978,2.4917,79.2451,96.6961,177.1843
26.18,2.4794,86.795,99.1025,177.6645
28.1953,2.4693,93.4246,100.7495,176.5989
29.6109,2.4648,96.9913,101.2959,174.1573
30.2686,2.4637,96.7847,100.8723,170.4947
30.0996,2.4682,93.0281,99.6094,164.9998
29.176,2.476,87.0217,97.7427,160.7303
27.6747,2.4849,80.8476,95.556,157.2999
26.0067,2.4973,76.0653,93.4077,154.7587
24.4532,2.5085,73.0605,91.5105,153.1831
23.2159,2.5174,71.5623,89.9998,152.5704
22.4404,2.5241,71.0773,88.978,152.9111
22.0224,2.5264,70.916,88.3189,153.4827
21.8634,2.5241,70.8991,87.928,154.118
21.855,2.5208,70.8886,87.7117,154.7861
21.9055,2.5163,70.3509,87.6317,155.5023
21.9551,2.5129,69.1458,87.6678,156.7064
22.0114,2.5096,68.0862,87.8492,158.2565
22.1225,2.5051,68.2106,88.1883,160.0251
22.3731,2.4995,70.372,88.6637,161.8923
22.7592,2.4928,74.3067,89.1413,163.5597
23.2109,2.4827,79.6004,89.4635,164.6576
23.581,2.4749,85.3348,89.45,164.0702
23.6154,2.4693,89.4877,88.8394,161.8649
23.1932,2.4693,90.1636,87.6385,158.5728
22.2722,2.4771,86.2078,85.9092,154.4164
