CNL_Z,Density_0108,GR_Z,P-wave_0108,S-wave_0108
20.2258,2.5465,48.4675,87.6115,138.8439
19.7446,2.551,45.9034,86.824,138.4323
18.9876,2.5532,42.5391,85.9092,138.3627
18.1861,2.5521,39.4985,85.0654,138.4857
17.5123,2.5499,37.2485,84.3996,138.6651
17.096,2.5476,35.841,83.9445,138.9008
17.0161,2.5454,35.2812,83.6775,139.2211
17.1574,2.5431,35.4277,83.4758,139.5897
17.4055,2.5409,36.2817,83.2629,139.9698
17.6444,2.5387,37.6935,82.9948,140.2945
17.7756,2.5342,39.0873,82.6714,140.4919
17.7975,2.5308,39.7336,82.3526,140.4773
17.7487,2.5308,39.2855,82.0969,140.3414
17.6915,2.5308,37.8875,81.9549,140.2829
17.7083,2.5331,36.5168,81.9775,140.4973
17.8277,2.5331,36.3176,82.1374,141.1619
18.0439,2.5308,37.6861,82.4056,142.794
18.3198,2.5275,40.2323,82.7356,144.5754
18.5932,2.5241,42.9566,83.0747,145.8128
18.8144,2.523,45.0821,83.3845,146.4872
18.9675,2.5252,46.419,83.6673,146.6351
19.0675,2.5275,47.0632,83.9501,146.3896
19.1542,2.5297,47.2129,84.2655,146.1512
19.2661,2.5308,47.196,84.5922,146.1003
19.404,2.532,47.216,84.8581,145.8391
19.5293,2.532,47.2456,84.9595,145.2002
19.552,2.5331,47.0031,84.7556,144.0578
19.409,2.5353,46.2556,84.252,142.0838
19.0659,2.5387,44.7922,83.4769,139.944
18.5334,2.5443,42.6972,82.4957,138.1852
17.8563,2.5499,40.2797,81.377,136.6413
17.1473,2.5543,38.0055,80.2313,135.3189
16.4912,2.5555,36.4188,79.1385,134.1756
15.9588,2.5555,36.0129,78.1877,133.058
15.6308,2.5555,36.8606,77.5196,132.7254
15.5063,2.5555,37.8558,77.1873,133.0743
15.6022,2.5577,38.2607,77.2549,134.2498
15.9327,2.5588,38.1373,77.7675,136.2919
16.5442,2.5599,38.3851,78.8107,139.7251
17.3862,2.5566,39.9824,80.2594,143.8833
18.4039,2.5499,43.0747,81.9842,147.1019
19.4982,2.5409,46.8713,83.7811,149.6115
20.4848,2.5308,50.1776,85.3245,151.2374
21.2031,2.523,52.262,86.3936,151.976
21.532,2.5196,52.9104,86.8769,151.904
21.426,2.5185,52.1355,86.8048,151.4213
20.902,2.5219,50.0479,86.3226,150.7811
20.1946,2.5275,47.4585,85.7661,150.0961
19.5117,2.5342,44.9767,85.3651,149.5506
19.0532,2.5387,43.4268,85.2896,149.4895
19.0204,2.5398,44.0984,85.6794,150.5097
19.3796,2.5375,46.7479,86.4387,151.908
20.05,2.532,50.6868,87.4616,153.1817
20.8902,2.5252,54.825,88.5961,154.1186
21.7078,2.5208,57.6727,89.6415,154.5394
22.3412,2.5185,58.6733,90.4651,154.4626
22.6969,2.5208,58.1957,90.9945,154.2406
22.7323,2.5252,57.2753,91.2097,153.9024
22.4244,2.5308,56.7144,91.079,153.2633
21.8836,2.5375,56.2779,90.6847,152.2091
21.1829,2.5454,55.3585,90.0629,150.5711
20.3948,2.5521,53.4101,89.2574,148.0729
19.5907,2.5577,50.359,88.3325,145.9427
18.8388,2.5599,47.1633,87.403,143.9364
18.1928,2.5588,44.5223,86.5513,142.1924
17.6974,2.5543,42.6614,85.8393,140.7708
17.408,2.5499,41.6651,85.3054,139.6891
17.2987,2.5465,41.4647,84.8874,139.1915
17.3483,2.5476,41.8875,84.5314,139.022
17.53,2.551,42.5444,84.1934,139.1238
17.8311,2.5555,42.9218,83.8814,139.6065
18.2315,2.5599,42.7985,83.6617,140.7123
18.753,2.5611,42.285,83.638,143.6624
19.4275,2.5588,41.7357,83.9287,147.2276
20.3057,2.5532,41.5797,84.7105,151.1507
21.3436,2.5431,42.1142,85.9768,155.0007
22.4892,2.5308,43.5881,87.7061,158.2636
23.6701,2.5163,46.0679,89.7801,160.5705
24.7972,2.5029,49.3647,91.924,161.1033
25.8049,2.4894,52.8419,93.7468,160.6865
26.6283,2.4782,56.0681,94.9308,159.8838
27.2011,2.4704,58.7028,95.2823,158.8895
27.4147,2.4704,60.6691,94.7145,157.9108
27.2877,2.4782,62.1704,93.6195,156.9457
26.8251,2.4961,62.8062,92.3295,156.5139
26.0505,2.5152,61.7919,91.1658,156.2953
24.9663,2.5286,58.4034,90.438,156.1958
23.676,2.5308,54.2409,90.162,156.1039
22.2621,2.5208,51.4913,90.2364,155.7766
20.823,2.504,51.5261,90.4268,154.7095
19.4814,2.4872,53.5398,90.3558,153.0137
18.3021,2.4771,54.7038,89.779,150.713
17.3264,2.4782,54.2926,88.6175,148.0446
16.5854,2.4861,53.8192,86.9918,145.2184
16.1607,2.4973,56.2041,85.2411,142.6113
16.048,2.5096,61.9279,83.8453,142.2942
16.2742,2.5174,69.2997,83.2009,143.8999
16.8638,2.5208,75.8059,83.5997,147.2574
17.9043,2.5185,79.5213,85.3549,152.0525
19.3788,2.5118,80.933,88.1601,158.4356
21.3158,2.4995,80.7823,91.7246,165.6176
23.6928,2.4838,79.7701,95.6315,170.355
26.3785,2.4648,78.6209,99.3244,173.7116
29.0196,2.4435,77.9114,102.3459,175.5231
31.2679,2.4223,77.6604,104.3805,175.7761
32.7853,2.4055,77.5107,105.2491,174.0411
33.1898,2.3965,76.876,104.7737,171.1394
32.5952,2.3999,75.4411,103.3328,168.0255
31.1442,2.4144,72.9719,101.1957,164.7334
29.1045,2.4357,69.6044,98.6575,161.5042
26.8285,2.4592,65.9944,95.9988,158.4193
24.6954,2.4827,62.8041,93.4561,155.369
22.9198,2.5006,60.2769,91.168,153.5175
21.6254,2.5152,58.4139,89.2484,152.287
20.9525,2.5264,56.9389,87.9122,151.8166
20.8482,2.5342,55.3838,87.2318,152.2999
21.3226,2.5398,53.7138,87.3467,154.4926
22.3327,2.542,52.2883,88.3448,158.271
23.7618,2.5398,52.0153,90.3152,162.2784
25.2674,2.5308,53.7855,92.8714,166.1239
26.5526,2.5163,58.3728,95.6372,169.4639
